name,s,f,w,tautorsion,shift,hiddentau,notes,h0info,h0ext,h1info,h1target,h2info,h2target,h3info,h3target,label,angle,Dr inf000,dr,XX
h1^2 h3 g,29,7,18,1,-1,,,,,,,,,,,,,,,XX
k,29,7,16,0,1,,,,h0 k,,,,h0 l,,,k,,,h0 d0^2,gen
h0 k,29,8,16,0,0,,,t,h1 d0^2,,,t,h1 d0 e0,,,,,,h0^2 d0^2,XX
h1 d0^2,29,9,17,0,0,,,,,,loc,,,,,,,,,XX
h4^2,30,2,16,0,0,,,,h0 h4^2,,h1 h4^2,,,,,h_4^2,,,,XX
h0 h4^2,30,3,16,0,0,,,,h0^2 h4^2,,,,,,,,,,,XX
h0^2 h4^2,30,4,16,0,0,,,,h0^3 h4^2,,,,,,,,,,,XX
h0^3 h4^2,30,5,16,0,0,,,,,,,,,,,,,,,XX
D h2^2,30,6,16,0,0,,,h,h0 r,,,,D h1^2 h3,,,\D h_2^2,,,,gen
h0 r,30,7,16,0,0,,,,h0^2 r,,,,,,,,,,,XX
h0^2 r,30,8,16,0,0,,,,h0^3 r,,,,,,,,,,,XX
h0^3 r,30,9,16,0,0,,,,h0^4 r,,,,,,,,,,,XX
h0^4 r,30,10,16,0,0,,,t,P c0 d0,,,,,,,,,,,XX
P c0 d0,30,11,17,0,0,hid,,,,,loc,,,,,P c_0 d_0,210,,,XX
P^2 d0,30,12,16,0,0,,,,P^2 h0 d0,,P^2 h1 d0,,P^2 h0 e0,,,P^2 d_0,,,,gen
P^2 h0 d0,30,13,16,0,0,,,,P^2 h0^2 d0,,,,P^2 h0^2 e0,,,,,,,XX
P^2 h0^2 d0,30,14,16,0,0,,,,,,,t,P^2 h1^3 d0,,,,,,,XX
h5,31,1,16,0,0,,,,h0 h5,,h1 h5,,h2 h5,,h3 h5,h_5,,,h0 h4^2,gen
h0 h5,31,2,16,0,0,,,,h0^2 h5,,,,h0 h2 h5,,h0 h3 h5,,,,h0^2 h4^2,XX
